Company Name,Sector,Market Cap,Stock P/E,Year,Revenue,Net Profit
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2012,4.37,0.52
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2013,5.68,0.85
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2014,7.66,2.11
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2015,10.15,2.91
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2016,10.42,2.56
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2017,11.91,2.58
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2018,13.66,2.41
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2019,13.62,0.64
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2020,17.65,0.45
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2021,16.59,1.93
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2022,22.67,4.6
Odyssey Technologies Ltd,IT - Software,109.0,27.4,Mar 2023,24.19,4.37
Odyssey Technologies Ltd,IT - Software,109.0,27.4,TTM,24.4,3.99
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2012,2.0,-0.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2013,22.0,0.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2014,25.0,-0.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2015,34.0,0.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2016,33.0,6.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2017,46.0,-0.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2018,88.0,2.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2019,52.0,-0.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2020,59.0,-3.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2021,48.0,10.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2022,83.0,12.0
P. H. Capital Ltd,Finance,30.8,15.2,Mar 2023,76.0,-4.0
P. H. Capital Ltd,Finance,30.8,15.2,TTM,103.0,2.0
Space Incubatrics Technologies Ltd,Miscellaneous,4.26,71.0,Mar 2018,0.0,-23.93
Space Incubatrics Technologies Ltd,Miscellaneous,4.26,71.0,Mar 2019,0.03,-1.66
Space Incubatrics Technologies Ltd,Miscellaneous,4.26,71.0,Mar 2020,0.0,0.21
Space Incubatrics Technologies Ltd,Miscellaneous,4.26,71.0,Mar 2021,0.0,0.2
Space Incubatrics Technologies Ltd,Miscellaneous,4.26,71.0,Mar 2022,0.5,0.09
Space Incubatrics Technologies Ltd,Miscellaneous,4.26,71.0,Mar 2023,0.0,-5.28
Space Incubatrics Technologies Ltd,Miscellaneous,4.26,71.0,TTM,0.0,-5.23
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2012,0.0,-0.21
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2013,0.07,-0.33
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2014,0.05,-0.45
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2015,0.1,-0.32
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2016,0.0,-0.23
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2017,0.0,-0.18
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2018,24.61,0.36
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2019,77.81,0.08
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2020,0.44,0.03
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2021,0.42,0.01
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2022,34.15,0.53
Stratmont Industries Ltd,Trading,14.8,24.7,Mar 2023,52.73,0.73
Stratmont Industries Ltd,Trading,14.8,24.7,TTM,48.71,0.6
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2012,459.0,2.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2013,516.0,5.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2014,578.0,7.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2015,647.0,4.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2016,688.0,6.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2017,788.0,4.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2018,860.0,11.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2019,855.0,12.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2020,663.0,3.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2021,577.0,-4.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2022,657.0,12.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,Mar 2023,734.0,13.0
Jay Ushin Ltd,Auto Ancillaries,275.0,21.6,TTM,707.0,13.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2012,1312.0,73.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2013,1622.0,86.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2014,1634.0,62.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2015,1638.0,66.0
